날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
2024-07-15(월),열무김치,14.4kcal,겉절이김치(09),10.5kcal,배추김치(09),8.75kcal,,,4101.05kcal
2024-07-15(월),"우유(백색우유(200ML,연간))(02)",65kcal,수박,44.16kcal,,,,,4101.05kcal
2024-07-16(화),밥,372.75kcal,밥(소량),213kcal,참치야채비빔밥,512.31kcal,,,3052.21kcal
2024-07-16(화),버섯쇠고기찌개(05)(06)(16),59.55kcal,사골떡만둣국(01)(05)(06)(16),532.2kcal,두부김치국(05)(06)(09),37.12kcal,,,3052.21kcal
2024-07-16(화),스팸짜글이(06)(10)(18),178.28kcal,한식잡채(10)(18),240.17kcal,비엔나소시지야채볶음(05)(06)(10)(12)(18),193.54kcal,,,3052.21kcal
2024-07-16(화),계란후라이(완)(01),85kcal,더덕무침(18),70.65kcal,볼어묵볶음(18),201.04kcal,,,3052.21kcal
2024-07-16(화),가공우유(바나나맛)(02),82.5kcal,겉절이김치(09),10.5kcal,약과(06),237kcal,,,3052.21kcal
2024-07-16(화),깍두기(09),13.3kcal,,,깍두기(09),13.3kcal,,,3052.21kcal
2024-07-16(화),"생수(500ML,후식)",0kcal,,,,,,,3052.21kcal
2024-07-17(수),밥,372.75kcal,치킨마요덮밥(01)(05),789.96kcal,보리밥,406.3kcal,,,2484.76kcal
2024-07-17(수),종합어묵국(05)(06),139.47kcal,얼큰콩나물국(05)(06),21.16kcal,부대찌개(02)(05)(06)(09)(10)(15)(16)(18),111.81kcal,,,2484.76kcal
2024-07-17(수),오징어볶음(17)(18),181.47kcal,어묵핫바(01)(05)(12),91.2kcal,돼지고기김치볶음(09)(10),159.25kcal,,,2484.76kcal
2024-07-17(수),깻잎장아찌(완)(05),4.04kcal,무말랭이무침(완),24kcal,계란말이(01)(12),81.2kcal,,,2484.76kcal
2024-07-17(수),총각김치,12.25kcal,겉절이김치(09),10.5kcal,열무김치,14.4kcal,,,2484.76kcal
2024-07-17(수),"우유(백색우유(200ML,연간))(02)",65kcal,"㈜케이헬스바이오, 프로루틴단백질음료 코코아, 250mL",,,,,,2484.76kcal
2024-07-18(목),밥,372.75kcal,낙지수제비(05)(06)(09)(17),130.99kcal,밥,372.75kcal,,,2947.19kcal
2024-07-18(목),돼지고기애호박찌개(05)(06)(09)(10),86.21kcal,흑미밥,409.25kcal,햄듬뿍찌개(01)(02)(05)(06)(09)(10)(15)(16)(18),99.33kcal,,,2947.19kcal
2024-07-18(목),떡갈비바볶음(05)(06)(10)(18),225.54kcal,돼지고기채소볶음(10)(18),260.68kcal,소불고기당면볶음(16)(18),361.66kcal,,,2947.19kcal
2024-07-18(목),모듬장조림(01)(10)(18),182.07kcal,고구마조림(고구마맛탕),230.52kcal,애호박나물(18),65.44kcal,,,2947.19kcal
2024-07-18(목),가공우유(커피맛),122kcal,겉절이김치(09),10.5kcal,배추김치(09),8.75kcal,,,2947.19kcal
2024-07-18(목),배추김치(09),8.75kcal,,,,,,,2947.19kcal
2024-07-18(목),"생수(500ML,후식)",0kcal,,,,,,,2947.19kcal
2024-07-19(금),밥,372.75kcal,밀쌀밥,390.96kcal,옛날도시락비빔밥(01)(09),518.76kcal,,,4204.41kcal
2024-07-19(금),물만둣국(01)(02)(05)(06)(10)(16),170.18kcal,고기듬뿍돼지국밥(완)(04)(10)(16),779.38kcal,맑은콩나물국(05)(06),26.75kcal,,,4204.41kcal
2024-07-19(금),캐슈넛멸치볶음(04)(14)(18),111.37kcal,삼치구이&깐풍소스(05)(06)(07)(18),597.21kcal,마늘쫑무침,23.6kcal,,,4204.41kcal
2024-07-19(금),쇠고기폭찹(12)(16)(18),195.21kcal,맛김,0kcal,감자치즈핫도그케첩(01)(02)(05)(06)(10)(12),675.7kcal,,,4204.41kcal
2024-07-19(금),배추김치(09),8.75kcal,취나물무침(18),23.99kcal,열무김치,14.4kcal,,,4204.41kcal
2024-07-19(금),"우유(백색우유(200ML,연간))(02)",65kcal,석박지(09),5.4kcal,,,,,4204.41kcal
2024-07-19(금),,,과일젤리,225kcal,,,,,4204.41kcal
2024-07-20(토),불고기버거(불고기베이컨버거)(01)(02)(05)(06)(10),670.71kcal,셀프주먹밥,191.85kcal,보리밥,406.3kcal,,,3782.08kcal
2024-07-20(토),미니소시지구이(05)(06)(10),661.1kcal,훈제닭다리(15),574.6kcal,쇠고기샤브국(16),80.15kcal,,,3782.08kcal
2024-07-20(토),콘샐러드(완)(01)(05),45kcal,초코링도넛,621kcal,돼지간장불고기(10)(18),222.48kcal,,,3782.08kcal
2024-07-20(토),"우유(백색우유(200ML,연간))(02)",65kcal,브로콜리샐러드(01)(05)(10),183.7kcal,콩나물무침(05)(18),33.47kcal,,,3782.08kcal
2024-07-20(토),"(주문자상표부착)웅진식품, woongin815콜라, 250mL/캔",,무피클,12.72kcal,쌈무(13),5.25kcal,,,3782.08kcal
2024-07-20(토),,,,,배추김치(09),8.75kcal,,,3782.08kcal
2024-07-21(일),밥,372.75kcal,날치알김치덮밥(09)(18),507.22kcal,현미밥,408.65kcal,,,2797.68kcal
2024-07-21(일),소고기된장찌개(05)(06)(16),56.92kcal,부추달걀국(01)(05)(06),80.57kcal,돈육콩나물국(05)(06)(10),62.68kcal,,,2797.68kcal
2024-07-21(일),고추참치볶음(18),192.39kcal,명엽채볶음(18),82kcal,눈꽃치즈닭갈비(02)(15)(18),331.65kcal,,,2797.68kcal
2024-07-21(일),맛김,0kcal,소떡소떡(05)(06)(10)(15),369.1kcal,마카로니샐러드(완)(01)(02)(05)(06),79.5kcal,,,2797.68kcal
2024-07-21(일),빨간메추리알(01),139.7kcal,깍두기(09),13.3kcal,겉절이김치(09),10.5kcal,,,2797.68kcal
2024-07-21(일),배추김치(09),8.75kcal,대추방울토마토(생산기)(12),17kcal,,,,,2797.68kcal
2024-07-21(일),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2797.68kcal
2024-07-22(월),참치마요오믈렛(완)(01)(02)(05)(06)(10)(12)(15)(16)(18),123kcal,찹쌀밥,410.5kcal,물냉면vs비빔냉면(01)(02)(05)(06)(10)(13)(16),884.93kcal,,,4851.82kcal
2024-07-22(월),소시지구이(01)(05)(12),301.2kcal,쇠고기미역국(05)(06)(16),35.55kcal,훈제삼겹살구이(05)(06)(10)(15),984kcal,,,4851.82kcal
2024-07-22(월),머쉬룸크림스프(02)(05)(06),170.65kcal,대패삼겹살볶음(10)(18),725.39kcal,감자전(완)(06),14.4kcal,,,4851.82kcal
2024-07-22(월),시리얼(2)(05),172kcal,계란후라이(완)(01),85kcal,쌈무(13),5.25kcal,,,4851.82kcal
2024-07-22(월),베이글크림치즈(01)(02)(06),806.8kcal,감자샐러드(완)(01)(02),45kcal,열무김치,14.4kcal,,,4851.82kcal
2024-07-22(월),"우유(백색우유(200ML,연간))(02)",65kcal,배추김치(09),8.75kcal,무알콜 맥주,,,,4851.82kcal
2024-07-23(화),셀프참치마요주먹밥,466.63kcal,밀쌀밥,390.96kcal,닭순살간장덮밥(15)(18),638.86kcal,,,2951.07kcal
2024-06-27(목),"생수(500ML,후식)",0kcal,,,,,,,3235.44kcal
2024-06-28(금),밥,315kcal,흑미밥,348.75kcal,비빔쫄면(01)(05)(06)(13),509.47kcal,,,3822.73kcal
2024-06-28(금),소고기된장찌개(05)(06)(16),47.3kcal,김치물만둣국(05)(06)(10)(16),134.28kcal,삼겹살구이(10),1025.56kcal,,,3822.73kcal
2024-06-28(금),베이컨버섯볶음(02)(05)(06)(10)(18),109.07kcal,로제찜닭(05)(06)(10)(15),414.11kcal,명이나물절임(05)(06),160.5kcal,,,3822.73kcal
2024-06-28(금),고추장달걀조림(01),190.74kcal,치즈핫도그케첩(02)(05)(06)(10)(12),419.6kcal,겉절이김치,0kcal,,,3822.73kcal
2024-06-28(금),배추김치,8.75kcal,갓김치,9.6kcal,,,,,3822.73kcal
2024-06-28(금),"우유(백색우유(200ML,연간))(02)",65kcal,"남양유업,과수원오렌지,190ml",65kcal,,,,,3822.73kcal
2024-06-29(토),셀프주먹밥,182.29kcal,불고기버거(불고기베이컨버거)(01)(02)(05)(06)(10),612.41kcal,보리밥,345.8kcal,,,2428.35kcal
2024-06-29(토),치즈함박스테이크(02)(05)(06)(10)(15)(16)(18),404.3kcal,훈제닭다리,0kcal,부추달걀국(01)(05)(06),78.86kcal,,,2428.35kcal
2024-06-29(토),감자샐러드(완)(01)(02),45kcal,계란후라이(완)(01),85kcal,돼지고기채소볶음(10)(18),261.09kcal,,,2428.35kcal
2024-06-29(토),시리얼(2),153.2kcal,,,진미채무침(완)(06)(17),83.4kcal,,,2428.35kcal
2024-06-29(토),"우유(백색우유(200ML,연간))(02)",65kcal,,,겉절이김치,0kcal,,,2428.35kcal
2024-06-29(토),탄산음료,112kcal,,,,,,,2428.35kcal
2024-06-30(일),밥,315kcal,현미밥,348.15kcal,밥,315kcal,,,2335.76kcal
2024-06-30(일),얼큰쇠고기무국(05)(06)(16),62.33kcal,돼지고기짜글이(05)(06)(10),74.15kcal,얼큰새우탕(05)(06)(09),81.59kcal,,,2335.76kcal
2024-06-30(일),훈제오리야채볶음(01)(05)(15),360.18kcal,쇠고기불고기(16),298.41kcal,매콤찜닭(15),255.79kcal,,,2335.76kcal
2024-06-30(일),계란말이(01)(12),81.2kcal,콩나물무침(05),34.96kcal,양념깻잎,9kcal,,,2335.76kcal
2024-06-30(일),쌈무(13),5.25kcal,배추김치,8.75kcal,총각김치,12.25kcal,,,2335.76kcal
2024-06-30(일),배추김치,8.75kcal,,,,,,,2335.76kcal
2024-06-30(일),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2335.76kcal
2024-06-30(일),,,,,,,,,2335.76kcal
2024-06-30(일),,,,,,,,,2335.76kcal
2024-07-01(월),밥,372.75kcal,찹쌀밥,410.5kcal,밥,372.75kcal,,,3405.60kcal
2024-07-01(월),황태채국(01)(05)(06),66.69kcal,쇠고기미역국(05)(06)(16),35.55kcal,새우완자탕(05)(06)(08)(09),96.2kcal,,,3405.60kcal
2024-07-01(월),모듬장조림(01)(10)(18),182.07kcal,낙지볶음&소면(06)(17),372.96kcal,탕수육(06)(10),689.96kcal,,,3405.60kcal
2024-07-01(월),연두부양념장(05)(18),194.07kcal,계란찜(01),74.9kcal,짜장소스(05)(06)(10),415.8kcal,,,3405.60kcal
2024-07-01(월),깍두기(09),13.3kcal,김가루,8.6kcal,배추김치(09),8.75kcal,,,3405.60kcal
2024-07-01(월),"우유(백색우유(200ML,연간))(02)",65kcal,배추김치(09),8.75kcal,,,,,3405.60kcal
2024-07-01(월),,,대추방울토마토(생산기)(12),17kcal,,,,,3405.60kcal
2024-07-02(화),셀프명란마요주먹밥(01),484.55kcal,밀쌀밥,390.96kcal,밥,372.75kcal,,,2750.76kcal
2024-07-02(화),얼큰콩나물국(05)(06),21.16kcal,쇠고기무국(05)(06)(16),51.87kcal,부대찌개(완)(02)(05)(09)(10)(15)(18),288kcal,,,2750.76kcal
2024-07-02(화),애호박나물(18),65.44kcal,돼지고기채소볶음(10)(18),260.68kcal,맛김,0kcal,,,2750.76kcal
2024-07-02(화),비엔나소시지구이&케첩(05)(06)(10)(12),179.1kcal,계란후라이(완)(01),85kcal,고구마떡닭갈비(15)(18),317.28kcal,,,2750.76kcal
2024-07-02(화),구운달걀,0kcal,양배추쌈&쌈장,55.76kcal,숙주나물무침(05)(06),21.21kcal,,,2750.76kcal
2024-07-02(화),가공우유(딸기맛)(02),125kcal,깍두기(09),13.3kcal,석박지(09),5.4kcal,,,2750.76kcal
2024-07-02(화),깍두기(09),13.3kcal,,,,,,,2750.76kcal
2024-07-02(화),"생수(500ML,후식)",0kcal,,,,,,,2750.76kcal
2024-07-03(수),밥,372.75kcal,삼색나물비빔밥(05)(06),552.96kcal,보리밥,406.3kcal,,,3185.93kcal
2024-07-03(수),닭곰탕(02)(15)(16),107.86kcal,부추달걀국(01)(05)(06),80.57kcal,만두육개장(01)(02)(05)(06)(10)(12)(15)(16),240.29kcal,,,3185.93kcal
2024-07-03(수),오징어볶음(17)(18),181.47kcal,새송이떡갈비고구마크림(01)(05)(06)(15)(18),411.65kcal,돼지간장불고기(10)(18),222.48kcal,,,3185.93kcal
2024-07-03(수),오복채무침,11.1kcal,계란후라이(완)(01),85kcal,빨간메추리알(01),139.7kcal,,,3185.93kcal
2024-07-03(수),겉절이김치(09),10.5kcal,소고기고추장,46.8kcal,배추김치(09),8.75kcal,,,3185.93kcal
2024-07-03(수),"우유(백색우유(200ML,연간))(02)",65kcal,배추김치(09),8.75kcal,,,,,3185.93kcal
2024-07-03(수),,,아이스크림 팩형(02),234kcal,,,,,3185.93kcal
2024-07-04(목),밥,372.75kcal,밥,372.75kcal,흑미밥,409.25kcal,,,3007.65kcal
2024-07-04(목),닭가슴살떡국(02)(05)(06)(15)(16),190.17kcal,고기듬뿍순댓국(05)(06)(09)(10)(16),342.16kcal,해물짬뽕국(08)(09)(17)(18),91.45kcal,,,3007.65kcal
2024-07-04(목),쇠고기버섯볶음(16)(18),129.05kcal,고등어카레구이(07),340.5kcal,스팸짜글이(06)(10)(18),178.28kcal,,,3007.65kcal
2024-07-04(목),햄감자채볶음(10)(18),167.45kcal,오징어젓무침(17),45.4kcal,어묵야채조림(18),147.83kcal,,,3007.65kcal
2024-07-04(목),깍두기(09),13.3kcal,팬케이크(01)(02)(06),84kcal,배추김치(09),8.75kcal,,,3007.65kcal
2024-07-04(목),"우유(백색우유(200ML,연간))(02)",65kcal,석박지(09),5.4kcal,,,,,3007.65kcal
2024-07-04(목),,,수박,44.16kcal,,,,,3007.65kcal
2024-07-05(금),밥,372.75kcal,현미밥,408.65kcal,후리카케밥(소량)(01)(05)(06),214.67kcal,,,3460.62kcal
2024-07-05(금),돈코츠숙주국(10),152.73kcal,소고기된장찌개(05)(06)(16),56.92kcal,매운어묵탕(05)(06)(09)(18),84.08kcal,,,3460.62kcal
2024-07-05(금),미트볼채소볶음(02)(05)(06)(10)(12)(15)(16)(18),310.35kcal,모듬채소볶음(02)(16)(18),69.31kcal,떡볶이,171.71kcal,,,3460.62kcal
2024-07-05(금),새우살야채볶음(09)(12)(18),204.31kcal,훈제오리구이쌈무(01)(02)(05)(13),432.76kcal,모듬튀김(01)(05)(06),827.6kcal,,,3460.62kcal
2024-07-05(금),배추김치(09),8.75kcal,고구마샐러드(완)(01)(02)(05),63.33kcal,단무지,7.2kcal,,,3460.62kcal
2024-07-05(금),"우유(백색우유(200ML,연간))(02)",65kcal,겉절이김치(09),10.5kcal,"스포츠음료또는에너지음료, (주문자상표부착)광동제약, 비타500치어팩, 250mL",,,,3460.62kcal
2024-07-05(금),"생수(500ML,후식)",0kcal,,,,,,,3460.62kcal
2024-07-06(토),어묵바(01)(02)(05)(06)(12),150.5kcal,불고기또띠아,362.63kcal,검은콩밥,661.15kcal,,,2612.51kcal
2024-07-06(토),소시지&치즈또띠아(01)(02)(05),418.83kcal,구운야채,52.5kcal,해물순두부찌개(01)(05)(06)(08)(09)(17)(18),108.78kcal,,,2612.51kcal
2024-07-06(토),모닝빵딸기쨈(01)(02)(05)(06),104kcal,닭다리바베큐소스조림(15),272.15kcal,애호박베이컨볶음(02)(05)(10)(18),88.04kcal,,,2612.51kcal
2024-07-06(토),콘샐러드(완)(01)(05),45kcal,모듬피클,37.1kcal,맛김,0kcal,,,2612.51kcal
2024-07-06(토),"우유(백색우유(200ML,연간))(02)",65kcal,,,스팸두부조림(05)(06)(10)(18),234.58kcal,,,2612.51kcal
2024-07-06(토),"청량음료, 코카콜라음료, 코카콜라제로, 250mL/캔",,,,총각김치,12.25kcal,,,2612.51kcal
2024-07-07(일),밥,372.75kcal,대패삼겹살굴소스덮밥(10)(18),927.97kcal,보리밥,406.3kcal,,,3860.55kcal
2024-07-07(일),얼큰쇠고기무국(05)(06)(16),74.68kcal,오징어무국(05)(06)(17),67kcal,맑은콩나물국(05)(06),26.75kcal,,,3860.55kcal
2024-07-07(일),소시지채소볶음(12)(18),221.55kcal,매운콩나물잡채(05)(06)(18),128.53kcal,순살족발새우젓(04)(05)(06)(09)(10)(16)(18),725.85kcal,,,3860.55kcal
2024-07-07(일),쇠고기장조림(완)(05)(16)(18),184.37kcal,뿌링소떡(01)(02)(04)(05)(06)(10)(15),400kcal,무말랭이무침(완),24kcal,,,3860.55kcal
2024-07-07(일),배추김치(09),8.75kcal,배추김치(09),8.75kcal,깍두기(09),13.3kcal,,,3860.55kcal
2024-07-07(일),"생수(500ML,후식)",0kcal,"아이스크림 콘,완제품(02)",270kcal,,,,,3860.55kcal
2024-07-08(월),밥,372.75kcal,찹쌀밥,410.5kcal,밥,372.75kcal,,,3115.61kcal
2024-07-08(월),게살계란탕(01)(05)(06)(18),127.55kcal,쇠고기미역국(05)(06)(16),35.55kcal,돼지고기짜글이(05)(06)(10),71.21kcal,,,3115.61kcal
2024-07-08(월),쇠고기감자조림(16)(18),164.5kcal,볼어묵볶음(18),201.04kcal,스팸김치볶음(06)(09)(10),201.89kcal,,,3115.61kcal
2024-07-08(월),마늘쫑무침,23.6kcal,매운돼지갈비찜(02)(06)(10)(18),446.99kcal,돈육메추리알조림(01)(05)(06)(10),358.41kcal,,,3115.61kcal
2024-07-08(월),총각김치,12.25kcal,콩나물무침(05)(18),33.47kcal,열무김치,14.4kcal,,,3115.61kcal
2024-07-08(월),에너지바(02)(04)(05)(06),195kcal,배추김치(09),8.75kcal,,,,,3115.61kcal
2024-07-08(월),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,3115.61kcal
2024-07-09(화),밥,372.75kcal,스팸김치볶음밥(완)(05)(10),941kcal,밀쌀밥,390.96kcal,,,4681.85kcal
2024-07-09(화),얼큰쇠고기무국(05)(06)(16),74.68kcal,유부장국(01)(05)(06),68.75kcal,참치찌개(05)(09),119.11kcal,,,4681.85kcal
2024-07-09(화),진미채간장볶음(완)(17),1.79kcal,치킨가스소스(01)(05)(06)(09)(10)(12)(15)(16)(18),1012.67kcal,쇠고기야채볶음(16)(18),199.71kcal,,,4681.85kcal
2024-07-09(화),떡갈비야채볶음(05)(06)(10)(15)(16)(18),230.52kcal,취나물무침(18),23.99kcal,찐만두간장(06)(16),1095.12kcal,,,4681.85kcal
2024-07-09(화),가공우유(초코맛)(02),120kcal,깍두기(09),13.3kcal,배추김치(09),8.75kcal,,,4681.85kcal
2024-07-09(화),배추김치(09),8.75kcal,,,,,,,4681.85kcal
2024-07-09(화),"생수(500ML,후식)",0kcal,,,,,,,4681.85kcal
2024-07-10(수),밥,372.75kcal,쇠고기콩나물밥양념간장(05),438.74kcal,보리밥,406.3kcal,,,2902.09kcal
2024-07-10(수),사골곰탕(완)(16),24.73kcal,두부김치국(05)(06)(09),37.12kcal,쇠고기샤브국(16),80.15kcal,,,2902.09kcal
2024-07-10(수),떡갈비구이(01)(05),357.5kcal,모듬버섯볶음(18),25.13kcal,애호박나물(18),65.44kcal,,,2902.09kcal
2024-06-15(토),돈육큐브토마토소스조림(10)(12),488.28kcal,바지락무국(05)(06)(18),16.27kcal,꽃게해물탕(05)(06)(08)(09)(17)(18),53.18kcal,,,2863.05kcal
2024-06-15(토),시리얼(1),240kcal,치킨스테이크(05)(06)(15)(18),322.05kcal,돼지고기김치볶음(10),161.8kcal,,,2863.05kcal
2024-06-15(토),모닝빵딸기쨈(01)(02)(05)(06),104kcal,깍두기,11.2kcal,시금치무침(05)(06),26.29kcal,,,2863.05kcal
2024-06-15(토),고구마샐러드(완)(01)(02)(05),63.33kcal,,,총각김치,12.25kcal,,,2863.05kcal
2024-06-15(토),"우유(백색우유(200ML,연간))(02)",65kcal,,,,,,,2863.05kcal
2024-06-16(일),밥,315kcal,날치알김치덮밥(18),446.92kcal,현미밥,348.15kcal,,,2271.01kcal
2024-06-16(일),순두부찌개(01)(05)(06)(18),94.76kcal,배추쇠고기국(05)(06)(16),49.13kcal,닭고기육개장(01)(05)(06)(15),109.12kcal,,,2271.01kcal
2024-06-16(일),미트볼채소볶음(01)(02)(05)(06)(10)(12)(15)(16)(18),259.4kcal,어묵핫바(01)(05)(12),91.2kcal,콩나물불고기(05)(10),257.16kcal,,,2271.01kcal
2024-06-16(일),맛김,28kcal,팬케이크(01)(02)(06),84kcal,취나물무침,25.87kcal,,,2271.01kcal
2024-06-16(일),마늘쫑무침,23.6kcal,콘샐러드(완)(01)(05),45kcal,배추김치,8.75kcal,,,2271.01kcal
2024-06-16(일),배추김치,8.75kcal,깍두기,11.2kcal,,,,,2271.01kcal
2024-06-16(일),"우유(백색우유(200ML,연간))(02)",65kcal,"스포츠음료또는에너지음료, (주문자상표부착)광동제약, 비타500치어팩, 250mL",,,,,,2271.01kcal
2024-06-17(월),밥,315kcal,찹쌀밥,350kcal,큐브스테이크덮밥(05)(06)(10)(12)(15)(16)(18),1101.26kcal,,,3775.81kcal
2024-06-17(월),돼지고기애호박찌개(05)(06)(09),105.87kcal,쇠고기미역국(완),0kcal,유부장국(01)(05)(06),68.76kcal,,,3775.81kcal
2024-06-17(월),김자반,44.2kcal,매운돼지갈비찜(02)(06)(10),460.49kcal,닭윙구이(01)(05)(06)(15),705kcal,,,3775.81kcal
2024-06-17(월),스팸두부조림(05)(06)(10),233.66kcal,비엔나소시지구이&케첩(05)(06)(10)(12),179.1kcal,살사푸실리샐러드(완)(05)(06)(12)(16),0.85kcal,,,3775.81kcal
2024-06-17(월),무말랭이무침(완),24kcal,숙주나물무침(05)(06),23.47kcal,깍두기,11.2kcal,,,3775.81kcal
2024-06-17(월),배추김치,8.75kcal,깍두기,11.2kcal,,,,,3775.81kcal
2024-06-17(월),"우유(백색우유(200ML,연간))(02)",65kcal,유산균 발효 음료(02),68kcal,,,,,3775.81kcal
2024-06-18(화),밥,315kcal,흑미밥,348.75kcal,밥,315kcal,,,2355.49kcal
2024-06-18(화),소고기된장찌개(05)(06)(16),47.3kcal,새우계란탕(01)(05)(06)(09),94.78kcal,고기짬뽕국(02)(16)(17),133.94kcal,,,2355.49kcal
2024-06-18(화),고추참치볶음(05)(12)(16)(18),152.79kcal,돼지고기채소볶음(10)(18),261.09kcal,스팸짜글이(06)(10),182.78kcal,,,2355.49kcal
2024-06-18(화),소시지채소볶음(12),219.78kcal,매운콩나물무침(05),35.68kcal,계란후라이(완)(01),85kcal,,,2355.49kcal
2024-06-18(화),가공우유(초코맛)(02),120kcal,쌈무(13),5.25kcal,김가루,8.6kcal,,,2355.49kcal
2024-06-18(화),배추김치,8.75kcal,배추김치,8.75kcal,총각김치,12.25kcal,,,2355.49kcal
2024-06-18(화),"생수(500ML,후식)",0kcal,,,,,,,2355.49kcal
2024-06-19(수),밥,315kcal,마파두부덮밥(05)(06)(10)(15)(18),592.93kcal,대패삼겹살볶음밥(완)(02)(05)(06)(09)(10)(16),950kcal,,,3679.11kcal
2024-06-19(수),오징어콩나물국(05)(06)(17),69.46kcal,유부장국(01)(05)(06),68.76kcal,감자계란국(01)(05)(06),94.58kcal,,,3679.11kcal
2024-06-19(수),비엔나소시지야채볶음(05)(06)(10)(12),192.67kcal,부추고추잡채&꽃빵(02)(06)(10)(16)(18),312.17kcal,모듬버섯볶음(18),29.24kcal,,,3679.11kcal
2024-06-19(수),애호박베이컨볶음(02)(05)(10)(18),87.89kcal,깻잎장아찌(완),4.04kcal,후라이드치킨(05)(06)(12)(15),867.15kcal,,,3679.11kcal
2024-06-19(수),배추김치,8.75kcal,배추김치,8.75kcal,무피클,12.72kcal,,,3679.11kcal
2024-06-19(수),"우유(백색우유(200ML,연간))(02)",65kcal,,,제로콜라,0kcal,,,3679.11kcal
2024-06-20(목),밥,315kcal,밥,315kcal,검은콩밥,350.65kcal,,,3515.81kcal
2024-06-20(목),배추쇠고기국(05)(06)(16),49.13kcal,시래기등뼈감자탕(05)(06)(09)(10),200.93kcal,사골곰탕(완)(06)(16),125.58kcal,,,3515.81kcal
2024-06-20(목),오리간장불고기(완),725.55kcal,계란찜(01),74.9kcal,고구마맛탕,418.3kcal,,,3515.81kcal
2024-06-20(목),컬리플라워굴소스볶음(09)(18),82.53kcal,아귀순살콩나물찜(05)(08)(09)(17)(18),183.59kcal,떡갈비구이(01)(05),357.5kcal,,,3515.81kcal
2024-06-20(목),배추김치,8.75kcal,김자반,44.2kcal,겉절이김치,0kcal,,,3515.81kcal
2024-06-20(목),"우유(백색우유(200ML,연간))(02)",65kcal,깍두기,11.2kcal,,,,,3515.81kcal
2024-06-20(목),,,에너지바,188kcal,,,,,3515.81kcal
2024-06-21(금),밥,315kcal,보리밥,345.8kcal,후리카케밥(소량)(01)(05)(06),181.67kcal,,,3387.33kcal
2024-06-21(금),물만둣국(01)(02)(05)(06)(10)(16),170.97kcal,팽이버섯장국(01)(05)(06),101.67kcal,매운어묵탕(05)(06)(09),83.47kcal,,,3387.33kcal
2024-06-21(금),닭간장조림(05)(06)(15),198.2kcal,배추김치볶음(18),21.84kcal,매콤짜장떡볶이(05)(06)(10),183.1kcal,,,3387.33kcal
2024-06-21(금),미트소스치즈달걀말이(완)(01)(02)(10)(12)(16),213.55kcal,치즈돈가스&소스(05)(06)(10)(12)(15)(16),760.05kcal,단무지,7.2kcal,,,3387.33kcal
2024-06-21(금),배추김치,8.75kcal,깍두기,11.2kcal,감자치즈핫도그케첩(01)(02)(05)(06)(10)(12),675.7kcal,,,3387.33kcal
2024-06-21(금),"우유(백색우유(200ML,연간))(02)",65kcal,수박,44.16kcal,,,,,3387.33kcal
2024-06-22(토),베이글크림치즈(01)(02)(06),806.8kcal,투움바파스타(01)(02)(05)(06)(09)(10)(16),483.66kcal,밥,315kcal,,,3768.85kcal
2024-06-22(토),브로콜리샐러드(01)(05)(10),178.1kcal,갈릭치킨스테이크(05)(06)(15)(18),319.85kcal,모듬바베큐(01)(05)(06)(10)(12)(15)(16)(18),895.5kcal,,,3768.85kcal
2024-06-22(토),브리또(02)(06),232kcal,단호박샐러드(완)(01)(02)(05),53.4kcal,캐슈넛콩튀각조림(04)(05)(06)(14),81.69kcal,,,3768.85kcal
2024-06-22(토),컵과일(메론),54kcal,모듬피클,37.1kcal,머쉬룸크림스프(02)(05)(06),170.65kcal,,,3768.85kcal
2024-06-22(토),,,,,모닝빵딸기쨈(01)(02)(05)(06),104kcal,,,3768.85kcal
2024-06-22(토),,,,,모듬피클,37.1kcal,,,3768.85kcal
2024-06-22(토),,,,,제로콜라,0kcal,,,3768.85kcal
2024-06-23(일),밥,315kcal,현미밥,348.15kcal,밥,315kcal,,,2197.61kcal
2024-06-23(일),돼지고기짜글이(05)(06)(10),74.15kcal,만두육개장(01)(02)(05)(06)(10)(12)(15)(16),232.2kcal,닭곰탕(02)(15)(16),113.48kcal,,,2197.61kcal
2024-06-23(일),진미채간장볶음(완)(17),1.79kcal,돼지고기김치볶음(10),161.8kcal,쇠고기야채볶음(16),143.12kcal,,,2197.61kcal
2024-06-23(일),새우살야채볶음(09)(12)(18),202.41kcal,김자반,44.2kcal,시금치고추장무침,27.66kcal,,,2197.61kcal
2024-06-23(일),총각김치,12.25kcal,데친두부(두부구이)(05),59kcal,깍두기,11.2kcal,,,2197.61kcal
2024-06-23(일),"우유(백색우유(200ML,연간))(02)",65kcal,깍두기,11.2kcal,,,,,2197.61kcal
2024-06-23(일),,,이온음료,60kcal,,,,,2197.61kcal
2024-06-24(월),밥,315kcal,찹쌀밥,350kcal,밥,315kcal,,,3152.03kcal
2024-06-24(월),새우계란탕(01)(05)(06)(09),94.78kcal,쇠고기미역국(05)(06)(16),37.59kcal,해물짬뽕국(08)(09)(17)(18),88.13kcal,,,3152.03kcal
