y_test,y_pred
9.67,25.201433
4.64,10.125114
3.16,12.9112425
19.0,17.30111
19.0,8.144485
21.0,10.879718
29.95,24.589022
21.79,8.200923
24.12,13.332221
58.0,28.438416
0.8,11.314351
11.0,12.410606
11.76,24.723825
5.28,10.400658
2.78,14.317096
6.0,20.736633
1.1,6.546002
2.0,10.996134
16.08,19.389101
6.78,7.946851
15.06,14.335033
7.0,24.114864
13.0,9.467494
32.0,12.650975
16.0,16.974934
6.0,7.0728526
18.0,12.103356
22.87665718349931,19.966476
8.81584637268846,7.553399
13.69443812233288,13.98255
50.0,34.481724
22.0,13.196184
20.0,15.966697
12.0,22.157833
20.0,9.745795
14.0,13.968024
22.87665718349931,21.077171
8.81584637268846,7.925076
13.69443812233288,13.163276
30.0,27.58221
15.0,8.572077
14.0,11.399367
0.0,22.178555
2.5,10.933609
20.0,15.970151
7.78,21.165194
3.36,8.558882
6.02,11.733559
22.87665718349931,25.278896
8.81584637268846,9.28362
13.69443812233288,13.761976
11.76,26.337008
5.28,9.08393
2.78,20.76143
6.0,15.078062
7.0,8.201079
14.0,11.186478
22.87665718349931,21.254513
8.81584637268846,9.773632
13.69443812233288,12.1592455
12.07,19.196478
8.62,9.437761
16.43,15.0739765
22.87665718349931,16.699638
8.81584637268846,6.9325466
13.69443812233288,11.025532
50.0,23.510471
22.0,8.242025
20.0,15.578122
190.0,60.67516
17.0,9.480055
38.0,17.399666
22.87665718349931,19.851547
8.81584637268846,11.9180975
13.69443812233288,13.511927
15.0,20.556303
6.0,9.641253
10.0,14.43568
13.53,20.19786
2.9,7.496216
6.9,11.244409
11.0,27.172058
7.0,8.641098
11.0,12.757405
197.0,22.958515
97.0,13.411944
77.0,16.31116
53.02,23.533037
1.7,9.3221855
10.52,11.858888
50.0,34.68983
22.0,14.469546
20.0,16.191044
14.04,18.139826
1.86,7.919152
2.04,12.082165
5.87,16.376524
1.54,9.906124
2.17,12.383359
12.07,16.55633
8.62,8.251465
16.43,14.716319
22.87665718349931,20.654156
8.81584637268846,7.4805603
13.69443812233288,15.261601
66.44,20.083574
6.59,10.027886
15.81,15.466751
12.07,16.657604
8.62,8.29332
16.43,14.268264
11.63,21.262428
31.26,9.622717
33.29,14.9463215
14.04,16.76315
1.86,7.5762506
2.04,11.0273485
5.62,15.209089
17.99,10.139648
18.25,15.181613
4.0,23.549702
0.5,7.1822186
1.0,15.110591
2.34,20.853079
0.08,7.1089144
1.0,10.366233
22.87665718349931,20.281395
8.81584637268846,7.4082584
13.69443812233288,11.882996
104.0,24.074461
10.0,9.932439
9.0,14.33239
5.87,22.635803
1.54,8.558439
2.17,13.015026
7.0,18.929205
13.0,7.744554
32.0,12.174026
5.87,17.60359
1.54,6.711233
2.17,10.34627
48.72,18.219765
5.3,6.897598
5.23,11.259376
22.87665718349931,21.565243
8.81584637268846,9.523504
13.69443812233288,15.123648
11.0,20.772068
23.0,8.6506815
27.0,14.682682
22.87665718349931,23.60527
8.81584637268846,9.071015
13.69443812233288,14.085788
7.0,18.963692
13.0,7.508643
32.0,12.9126215
14.04,22.750675
1.86,9.526075
2.04,16.334131
11.63,22.064217
31.26,10.26868
33.29,13.988416
17.0,17.957235
4.0,7.7178264
12.0,12.896653
22.87665718349931,34.894646
8.81584637268846,11.387096
13.69443812233288,16.49736
29.95,20.683239
21.79,8.136716
24.12,13.96054
6.0,24.384705
1.5,9.823258
5.0,15.644579
22.87665718349931,24.435751
8.81584637268846,9.787184
13.69443812233288,14.096133
3.28,20.234735
4.9,7.703869
12.81,13.069022
50.0,23.322815
17.0,9.573153
33.0,13.515896
2.0,21.646442
4.2,8.26799
13.0,16.111431
101.0,28.05358
15.3,8.970604
15.0,12.325322
5.82,20.666943
1.36,7.8893847
3.47,12.665714
30.0,19.143848
12.0,7.6972404
18.0,11.272912
22.87665718349931,21.761072
8.81584637268846,9.286961
13.69443812233288,14.637604
22.87665718349931,25.498966
8.81584637268846,15.703792
13.69443812233288,14.295937
5.99,22.431343
1.13,7.4829354
2.31,12.874801
50.0,20.295507
22.0,8.939464
20.0,16.00792
50.0,39.389442
22.0,16.584074
20.0,16.368265
2.36,19.765759
6.78,7.834818
6.98,11.931306
22.87665718349931,18.479258
8.81584637268846,7.649373
13.69443812233288,12.561295
5.82,20.80251
1.36,8.148639
3.47,18.463741
22.87665718349931,21.362986
8.81584637268846,8.338457
13.69443812233288,13.208685
6.0,14.899604
1.1,7.8300285
6.0,11.543792
66.44,20.563185
6.59,7.642806
15.81,13.445117
16.0,27.355972
6.0,8.46804
18.0,19.003788
24.74,22.823257
2.16,9.459773
4.75,15.480704
29.95,19.586094
21.79,8.225118
24.12,14.099161
12.07,17.74909
8.62,8.381366
16.43,14.702212
6.0,15.28474
7.0,8.035704
14.0,11.689234
2.36,19.498747
6.78,7.5556655
6.98,11.425276
3.91,18.07558
6.23,7.8393617
10.92,12.699123
16.0,22.629478
6.0,8.191244
18.0,18.29535
14.04,16.570107
1.86,7.971719
2.04,9.596226
29.95,18.242716
21.79,7.444693
24.12,13.979413
13.06,20.290194
2.45,7.188784
13.11,11.574137
30.0,22.561024
12.0,9.582042
18.0,10.710148
25.0,20.983883
1.0,10.126206
3.0,13.693797
